course_code,course_name
CDEV 213,COMMUNICATION TECHNOLOGY IN HUMAN ECOLOGY
CDEV 215,"CIVIL SOCIETIES AND DEVELOPMENT STREAMS: PPMA, CDEV (ODEL)"
CDEV 220,CRIME AND DEVELOPMENT STREAMS: CDEV (ODEL)
CDEV 222,COMMUNITY ORGANIZING STREAMS: BSC CDEV Y2S1 (ODEL)
CDEV 223,PARTICIPATORY METHODOLOGIES IN COMMUNITY DEVELOPMENT STREAMS: BSC CDEV (ODEL)
CDEV 224,COLLECTIVE MOVEMENTS IN COMMUNITIES STREAMS: CDEV ODEL
CDEV 225,GROUP DYNAMICS STREAMS: BSC CDEV (ODEL)
CDEV 241,DEVELOPMENT OF YOUTHS & ADOLESCENTS
CDEV 250,COMMUNITY DEVELOPMENT AND ECOTOURISM STREAMS: BSC CDEV (ODEL)
CDEV 251,SOCIAL ENTREPRENEURSHIP STREAMS: ODEL
CDEV 252,SOCIAL MARKETING AND DEVELOPMENT STREAMS:  TIME: 2 HOURS
CDEV 253,ECONOMIC PLANNING DEVELOPMENT
CDEV 254,POVERTY ERADICATION STREAMS: ODEL
CDEV 301,SOCIOLOGICAL THEORY I STREAMS: BSC CDEV
CDEV 304,SOCIOLOGY OF RURAL SOCIETIES STREAMS: BSC CDEV Y3S1 (ODEL)
CDEV 305,SOCIOLOGY OF URBAN COMMUNTIES/URBAN SOCIOLOGY
CDEV 314,LEADERSHIP IN COMMUNITY DEVELOPMENT STREAMS: BSC CDEV Y3S1 (ODEL)
CDEV 315,APPROPRIATE TECHNOLOGY STREAMS: B.A ODEL
CDEV 316,COMMUNITY HEALTH AND SANITATION STREAMS: BSC CDEV
CDEV 320,"NETWORK, ADVOCACY AND LOBBYING STREAMS: BSc. CDEV (Y3S1)"
CDEV 323,PROJECT PLANNING AND DESIGN STREAMS: B.A CDEV ODEL
CDEV 324,MANAGEMENT OF COMMUNITY HEALTH AND SANITATION
CDEV 325,PROJECT MONITORING AND EVALUATION
CDEV 326,CONFLICT MANAGEMENT IN THE COMMUNITY/ CDEV 210: CONFLICT MANAGEMENT AND RESOLUTION IN THE COMMUNITY
CDEV 334,FAMILY THERAPY AND COUNSELLING I
CDEV 342,MATERNAL AND CHILD HEALTH
CDEV 351,RESEARCH METHODS
CDEV 402,SOCIOLOGICAL THEORIES II
CDEV 405,SOCIAL GERONTOLOGY STREAMS: BSC CDEV
CDEV 411,SOCIAL CHANGE AND DEVELOPMENT STREAMS: BSc. CDEV
CDEV 415,HOUSING IMPROVEMENT STREAMS: BSc. CDEV (ODEL)
CDEV 416,HUMAN DISPLACEMENT AND MANAGEMENT STREAMS: BSc. CDEV (ODE
CDEV 417,WORLD FOOD ISSUES STREAMS: BSC CDEV (ODEL)
CDEV 421,CONTEMPORARY ISSUES IN COMMUNITY DEVELOPMENT STREAMS: BSC: COMMUNITY DEVELOPMENT
CDEV 422,COMMUNICATION FOR DEVELOPMENT STREAMS: BSC: COMMUNITY DEVELOPMENT
CDEV 423,DEMOGRAPHY AND DEVELOPMENT
CDEV 428,CDEV 428/SOCI 415: DISASTER MANAGEMENT
CDEV 429,COMMUNITY CONSULTANCY STREAMS: B.A ODEL Y4S2
CDEV 436,CDEV  436: FAMILY LAWS AND POLICIES
CDEV 443,FOUNDATIONS OF ADULT LEARNING STREAMS: B.A ODEL Y4S2
CDEV 451,MANAGEMENT OF MICRO AND SMALL BUSINESS
CDEV 461,CONTEMPORARY ISSUES IN COMMUNITY DEVELOPMENT
CDEV 710,EXTENSION IN COMMUNITY DEVELOPMENT
CDEV 714,THEORIES OF FAMILY DEVELOPMENT
CDEV 810,EXTENSION AND COMMUNITY DEVELOPMENT STREAMS: CDEV
CDEV 811,COMMUNITY ORGANIZING STREAMS: MSc. CDEV
CDEV 812,RESEARCH METHODS IN COMMUNITY DEVELOPMENT
CDEV 815,APPROACHES OF COMMUNITY CHANGE STREAMS
CDEV 821,RESEARCH METHODS IN COMMUNITY DEVELOPMENT
CDEV 822,RESOURCE MOBILIZATION AND NETWORKING
CDEV 823,GENDER AND DEVELOPMENT
CDEV 824,SOCIAL ENTERPRENEURSHIP STREAMS
CDEV 825,COMPARATIVE PROJECT PLANNING AND MANAGEMENT
CDEV 911,DEVELOPMENT THEORIES AND PRACTICE
CDEV 912,CONTEMPORARY DEVELOPMENT ISSUES IN AFRICA
CDEV 921,RESEARCH METHODS AND APPLICATIONS
CDEV 924,ACADEMIC WRITING
CEEM 0011,CEEM 00111: INTRODUCTION TO ENTERPRENEURSHIP STREAMS: CEEM Y1S1
CEEM 0012,CEEM 00121: ENTERPRISE PROMOTIONS
CEEM 0013,CEEM 00131: LEGAL FORMS OF BUSINESS ENTERPRISES
CHAL 101,STATISTICAL METHODS FOR ENVIRONMENTAL CHEMISTRY I
CHAL 202,STATISTICAL METHODS FOR ENVIRONMENTAL CHEMISTRY II STREAMS: BSc (Y2S1)
CHAL 415,CHEMICAL PROCESS ECONOMICS
CHAL 451,ENVIRONMENTAL TECHNOLOGY AND HEALTH STREAMS: BSC CHAL
CHEM 0010,CHEM 00102: BASIC CHEMISTRY STREAMS: CERT
CHEM 0102,BASIC CHEMISTRY STREAMS: DIP.
CHEM 101,"CHEMICAL LABORATORY SAFETY AND SECURITY STREAMS:BED(SCI),CHE,INDU CHEM, BIOC &BMET"
CHEM 102,GENERAL INORGANIC AND PHYSICAL CHEMISTRY STREAMS: “AS ABOVE”
CHEM 103,GENERAL ORGANIC CHEMISTRY I
CHEM 110,INORGANIC CHEMISTRY I
CHEM 120,PHYSICAL CHEMISTRY 1 STREAMS
CHEM 130,ORGANIC CHEMISTRY 1
CHEM 211,PHYSICAL INORGANIC CHEMISTRY STREAMS
CHEM 212,COMPARATIVE STUDY OF S- AND P-BLOCK ELEMENTS
CHEM 221,PHYSICAL CHEMISTRY III
CHEM 231,"ORGANIC CHEMISTRY II STREAMS: BED SCI & BSC (CHEM, INDUSTRIAL CHEM, BIOC, BMET, BIO & MATHS"
CHEM 241,CHEMICAL SEPARATION TECHNIQUES
CHEM 304,ANALYTICAL CHEMISTRY I STREAMS: BSC
CHEM 313,COORDINATION CHEMISTRY EXAM APRIL 2023
CHEM 314,BIOINORGANIC CHEMISTRY STREAMS:BSC Y3S1
CHEM 315,CHEMICAL APPLICATIONS OF GROUP THEORY
CHEM 322,PHYSICAL CHEMISTRY III STREAMS: BSC. CHEM
CHEM 323,CHEMICAL KINETICS STREAMS: BSC CHEMISTRY
CHEM 324,PHYSICAL METHODS OF STRUCTURE DETERMINATION
CHEM 325,ELECTROCHEMISTRY STREAMS
CHEM 326,COLLOID AND SURFACE CHEMISTRY
CHEM 332,ORGANIC CHEMISTRY III STREAMS
CHEM 334,ENVIRONMENTAL CHEMISTRY I
CHEM 342,ATOMIC SPECTROSCOPY STREAMS: BSC CHEMISTRY
CHEM 343,INDUSTRIAL AND APPLIED CHEMISTRY I STREAMS: BSC. CHEM
CHEM 344,ENVIRONMENTAL CHEMISTRY I
CHEM 345,MOLECULAR SPECTROSCOPY
CHEM 351,FORENSIC CHEMISTRY STREAMS: BSC CHEM
CHEM 361,RESEARCH METHODS
CHEM 405,ANALYTICAL CHEMISTRY II
CHEM 416,COMPARATIVE STUDY OF D – AND F- BLOCK ELEMENTS
CHEM 417,RADIATION AND NUCLEAR CHEMISTRY
CHEM 419,"CHEMISTRY OF TRANSITION ELEMENTS STREAMS:BSC(CHEM,INDU CHEM) BSC Y4S1"
CHEM 425,ELECTROCHEMISTRY
CHEM 436,ADVANCED STEREOCHEMISTRY AND REACTION MECHANISMS
CHEM 437,ORGANIC SPECTROSCOPY
CHEM 438,HETEROCYCLIC CHEMISTRY
CHEM 439,INTRODUCTION TO ORGANIC SYNTHESIS
CHEM 443,INDUSTRIAL AND APPLIED CHEMISTRY II
CHEM 445,ENVIRONMENTAL CHEMISTRY II
CHEM 446,CHEMISTRY OF NATURAL PRODUCTS STREAMS
CHEM 447,INDUSTRIAL AND APPLIED CHEMISTRY II
CHEM 448,ENVIRONMENTAL CHEMISTRY II STREAMS: BSC CHEMISTRY
CHEM 452,ANALYTICAL CHEMISTRY II
CHEM 453,INSTRUMENTAL ANALYSIS
CHEM 801,ADVANCED CHEMOMETRICS STREAMS: MSC.
CHEM 802,ADVANCED COMPUTER APPLICATIONS IN CHEMISTRY
CHEM 803,ADVANCED MATHEMATICS FOR CHEMISTS STREAMS: MSC CHEMISTRY
CHEM 811,ADVANCED GROUP THEORY STREAMS: MSC (CHEMISTRY)
CHEM 812,ADVANCED COORDINATION CHEMISTRY STREAMS: MSC CHEMISTRY
CHEM 814,BIO INORGANIC CHEMISTRY
CHEM 815,SPECIAL TOPICS IN INORGANIC CHEMISTRY
CHEM 816,ADVANCED INORGANIC REACTION MECHANISM STREAMS: BSC. CHEM
CHEM 817,ADVANCED INORGANIC SYNTHESIS STREAMS: MSC CHEM
CHEM 818,APPLICATION OF INORGANIC CHEMISTRY IN INDUSTRY AND BIOTECHNOLOGY
CHEM 821,ADVANCED CHEMICAL THERMODYNAMIC STREAMS: MSC (CHEM)
CHEM 825,ADVANCED GROUP THEORY
CHEM 831,MODERN METHODS OF ORGANIC SYNTHESIS STREAMS: MSC CHEMISTRY
CHEM 833,ADVANCED MATHEMATICS FOR CHEMISTS STREAMS: MSC
CHEM 841,ADVANCED SEPARATION TECHNIQUES STREAMS: MSC
CHEM 842,ADVANCED ELECTROANALYTICAL METHODS STREAMS: MSC
CHEM 843,ADVANCED NMR TECHNIQUES STREAMS: MSC (CHEM)
CHEM 844,ENVIRONMENTAL CHEMISTRY STREAMS: MSc (CHEMISTRY); MSc (ENVT. SCIENCE)
CHEM 848,ADVANCED NANOELECTROCHEMISTRY STREAMS: MSC (CHEM)
CHEM 901,APPLIED CHEMOMETRICS STREAMS: PhD
CHEM 902,PHYSICAL AND COMPUTATIONAL METHODS STREAMS: PHD CHEMISTRY
CHEM 913,SUPRAMOLECULAR CHEMISTRY STREAMS
CHEM 921,ADVANCED DEVELOPMENT IN ORGANIC SYNTHESIS STREAMS: PhD (CHEMISTRY)
CHEM 933,ADVANCES IN ELECTROCHEMISTRY
CHEM 941,ELECTRO ANALYTICAL TECHNIQUES AND VALIDATION
CHEM 942,ADVANCED SPECTAL TECHNIQUES
CHEM 943,ADVANCES IN CHEMICAL AND BIOANALYTICAL TECHNIQUES
CHIN 101,QUANTITATIVE CHEMICAL ANALYSIS
CHIN 211,INDUSTRIAL UNIT OPERATIONS STREAMS: BSC. CHIN
CHIN 221,INDUSTRIAL INORGANIC CHEMICALS
CHIN 312,INTRODUCTION TO MATERIAL SCIENCE STREAMS
CHIN 313,MATERIAL AND ENERGY BALANCES
CHIN 323,INDUSTRY FORMULATION CHEMISTRY AND TECHNOLOGY
CHIN 325,"COSMETICS, TOILETRY AND PERFUMES"
CHIN 326,PETROCHEMICAL INDUSTRIES
CHIN 371,RESEARCH METHODS
CHIN 414,FUNDAMENTALS OF CHEMICAL REACTOR DESIGN
CHIN 415,CHEMICAL PROCESS ECONOMICS STREAMS: BSC CHEMISTRY
CHIN 427,DYES AND PIGMENTS STREAMS: BSc (IND. CHEM)
CHIN 428,INDUSTRIAL ELECTROCHEMISTRY AND CORROSION STREAMS: BSC CHIN
CHIN 429,LEATHER BIOTECHNOLOGY STREAMS: BSC CHIN
CHIN 431,INDUSTRIAL PHARMACEUTICAL CHEMISTRY
CHIN 432,POLYMER TECHNOLOGY
CHIN 433,INDUSTRIAL PHYSICAL METHODS FOR ANALYSIS
CHIN 447,"DYES, PIGMENTS AND FIBRES"
CHIN 451,AIR POLLUTION CND CONTROL STREAMS: BSc. IND CHEM
CHIN 452,INDUSTRIAL WASTE MANAGEMENT
CHIN 461,INTELLECTUAL PROPERTY RIGHTS STREAMS
CHTM 0010,CHTM 00101: INTRODUCTION TO TOURISM AND HOSPITALITY MANAGEMENT
CHTM 0016,FRONT OFFICE OPERATIONS
CHTM 0020,CHTM 00201 : FOREIGN LANGUAGE
CHTM 0030,CHTM 00301: MENU KNOWLEDGE AND FOOD SELECTION (STREAMS: CHTM (Y1S1)
CHTM 0040,CHTM 00401: PUBLIC RELATIONS AND CUSTOMER CARE IN TOURISM
CHTM 0060,CHTM 00601: BASIC ACCOUNTING IN HOSPITALITY
CIBM 0010,CIBM 00101: BUSINESS COMMUNICATION
CIBM 0011,CIBM 00111: CERTIFICATE IN COMMUNITY DEVELOPMENT
CIBM 0012,CIBM 00121: INTRODUCTION TO ECONOMICS
CIBM 0013,CIBM 00131: PRINCIPLES OF ACCOUNTING
CIBM 0014,CIBM 00141: INTRODUCTION TO BUSINESS LAW
CIBM 0015,CIBM 00152: MANAGEMENT INFORMATION SYSTEM
CIBM 0016,CIBM 00161: PRINCIPLES OF MARKETING
CIBM 0021,CIBM 00211: PRINCIPLES OF ENTREPRENEURSHIP
CIBM 0113,PRINCIPLES OF MANAGEMENT
CIBM 0123,INTRODUCTION TO BUSINESS
CIBM 0141,BUSINESS LAW
CLPS 811,FUNDAMENTALS OF CLINICAL PSYCHOLOGY
CLPS 812,THEORIES OF PERSONALITY
CLPS 822,BIOLOGICAL BASIS OF HUMAN BEHAVIOUR
CLPS 841,PRINCIPLES OF PSYCHOTHERAPY
COMM 100,INTRODUCTION TO COMMUNICATION
COMM 102,COMMUNICATIVE ENGLISH
COMM 103,BASIC STUDY AND LIBRARY SKILLS
COMM 104,BUSINESS COMMUNICATION
COMM 105,INTRODUCTION TO MASS COMMUNICATION
COMM 106,RHETORIC
COMM 230,INFORMATION TECHNOLOGY 1
COMM 231,DESKTOP PUBLISHING
COMM 240,CULTURE AND COMMUNICATION
COMM 241,INTERPERSONAL COMMUNICATION
COMM 242,GENDER ISSUES IN COMMUNICATION
COMM 243,PUBLIC SPEAKING
COMM 250,WRITTEN COMMUNICATION IN BUSINESS
COMM 251,ORAL COMMUNICATION IN BUSINESS
COMM 252,ORGANIZATIONAL COMMUNICATION
COMM 253,PUBLIC RELATIONS
COMM 260,WRITTEN COMMUNICATION FOR NEWSPAPERS
COMM 261,PHOTOJOURNALISM
COMM 262,INTRODUCTION TO RADIO
COMM 263,FEATURE WRITING
COMM 264,GRAPHICS FOR VISUAL COMMUNICATIONS
COMM 270,ENGLISH FOR SPECIFIC PURPOSES
COMM 272,COMMUNICATION AND ANALYTICAL CRITICISM
COMM 330,COMMUNICATION AND MASS COMMUNICATION
COMM 331,"INFORMATION TECHNOLOGY, COMMUNICATION SYSTEM AND  SOCIAL CHANGE"
COMM 332,INTERNET TECHNOLOGIES AND COMMUNICATION
COMM 353,LEGAL ASPECTS OF BUSINESS COMMUNICATION
COMM 354,COMMUNICATION IN LEADERSHIP AND MANAGEMENT
COMM 360,WRITTEN COMMUNICATION FOR BROADCASTING
COMM 361,TELEVISION PRODUCTION
COMM 362,A: MEDIA AND SOCIETY
COMM 363,COPY EDITING
COMM 370,ADVERTISING AND COMMUNICATION II
COMM 371,"INTERPRETATION, TRANSLATION AND COMMUNICATION"
COMM 372,COMMUNICATION AND DEVELOPMENT
COMM 380,INTRODUCTION RESEARCH METHODS
COMM 381,ADVANCED RESEARCH METHODS
COMM 420,SEMINAR 1 (KISWAHILI)
COMM 421,SEMINAR II ENGLISH
COMM 431,DIGITAL GRAPHICS AND COMMUNICATION
COMM 470,TECHNICAL WRITING
COMM 471,DIPLOMACY
COMM 472,COMMUNICATION LAW AND ETHICS
COMM 473,MEDIA MANAGEMENT
COMM 474,CURRENT TOPICS IN COMMUNICATIONS
COMP 0010,COSC/COMP 00108: INTRODUCTION TO DIGITAL LOGIC AND DATA COMMUNICATIONS
COMP 0016,COMP 00161:   COMPUTER APPLICATIONS IN BUSINESS
COMP 0243,DATA STRUCTURES AND ANALYSIS OF ALGORITHM
COMP 0262,DISTRIBUTED SYSTEMS
COMP 0274,EMERGING TECHNOLOGIES IN COMPUTER SCIENCE
COMP 105,COMPUTER APPLICATIONS IN BUSINESS
COMP 301,DATA STRUCTURES AND ALGORITHMS
COMP 303,THEORY OF COMPUTATION
COMP 304,COMPONENTS AND DESIGN TECHNIQUES FOR DIGITAL SYSTEMS
COMP 306,/ ACSC 333: SOFTWARE ENGINEERING I
COMP 312,RESEARCH METHODS IN COMPUTER SCIENCE
COMP 314,COMPUTER NETWORKS
COMP 316,CONTEMPORARY TOPICS IN COMPUTER SCIENCE
COMP 400,PROGRAMMING LANGUAGE DESIGN
COMP 401,DATABASE SYSTEMS
COMP 403,DECISION SUPPORT SYSTEMS
COMP 404,OBJECT – ORIENTED PROGRAMMING (JAVA)
COMP 407,Special Topics in Computer Science
COMP 408,WEB DESIGN AND DEVELOPMENT
COMP 409,USER INTERFACE DESIGN
COMP 410,SOFTWARE ENGINEERING II
COMP 414,COMP 414/COSC 465: DISTRIBUTED SYSTEMS
COMP 416,KNOWLEDGE BASED SYSTEMS
COMP 419,SOFTWARE PROJECT MANAGEMENT
COMP 420,COMPUTER GRAPHICS
COMP 424,Cryptography and Computer Security
COMS 0010,COMS 00100/00121: INTRODUCTION TO COMMUNICATION SKILLS
COMS 0011,COMS 00110/ ZOOL 00143: HIV/AIDS AND LIFESKILLS
COMS 0101,INTRODUCTION TO COMMUNICATION SKILLS
COMS 0210,HIV/AIDS AND LIFE SKILL
COMS 101,COMMUNICATION SKILLS
COMS 102,COMMUNICATION SKILLS II
COMS 121,COMMUNICATION SKILLS II
COSC 0010,COMP/COSC 00108: INTRODUCTION TO DIGITAL LOGIC AND DATA COMMUNICATIONS
COSC 0013,COSC 00131: INTRODUCTION TO WEB DESIGN
COSC 0016,COSC 00161: COMPUTER APPLICATIONS IN BUSINESS STREAMS: CERT
COSC 0017,COSC 00171: COMPUTER NETWORKS AND THE INTERNET
COSC 0019,COSC 00190: INTRODUCTION TO COMPUTER SYSTEMS PROJECT
COSC 0100,INFORMATION TECHNOLOGY AND NATIONAL DEVELOPMENT
COSC 0101,INTRODUCTION TO COMPUTER SYSTEMS
COSC 0102,INTRODUCTION TO COMPUTER APPLICATIONS
COSC 0110,COMPUTER ARCHITECTURE
COSC 0120,OPERATING SYSTEMS
COSC 0130,SYSTEM ANALYSIS AND DESIGN
COSC 0140,FUNDAMENTALS OF COMPUTER PROGRAMMING
COSC 0141,INTRODUCTION TO WEB BASED PROGRAMMING
COSC 0150,DATABASE SYSTEMS I
COSC 0160,DATA COMMUNICATION AND COMPUTER NETWORKS
COSC 0170,MATHEMATICS FOR COMPUTING I
COSC 0171,IT TECHNICAL SUPPORT AND CUSTOMER CARE
COSC 0172,MATHEMATICS FOR COMPUTING II
COSC 0211,DIGITAL ELECTRONICS
COSC 0231,OBJECT ORIENTED ANALYSIS AND DESIGN
COSC 0242,DESKTOP APPLICATION DEVELOPMENT
COSC 0243,DATA STRUCTURES AND ANALYSIS OF ALGORITHM
COSC 0244,FUNDAMENTALS OF OBJECT-ORIENTED PROGRAMMING
COSC 0251,DATABASE SYSTEM II
COSC 0261,E-SYSTEMS
COSC 0262,DISTRIBUTED SYSTEMS
COSC 0273,TECHNO-ENTREPRENEURSHIP AND SMALL BUSINESS MANAGEMENT
COSC 0274,EMERGING TECHNOLOGIES IN COMPUTER SCIENCE
COSC 0280,INTRODUCTION TO RESEARCH METHODS IN COMPUTER SCIENCE
COSC 100,INFORMATION TECHNOLOGY AND NATIONAL DEVELOPMENT
COSC 101,INTRODUCTION TO COMPUTER SYSTEMS
COSC 102,DISCRETE MATHEMATICS SOLVING
COSC 103,INTRODUCTION TO COMPUTER APPLICATIONS
COSC 104,COSC 104/BBAM /BCOM 270: INTRODUCTION TO PROGRAMMING METHODOLOGIES
COSC 105,INTRODUCTION TO COMPUTER APPLICATIONS IN BUSINESS
COSC 106,INFORMATION TECHNOLOGY AND SOCIETY
COSC 107,INTRODUCTION TO COMPUTER PROGRAMMING AND PROBLEM SOLVING.
COSC 110,COMPUTER ARCHITECTURE
COSC 111,COMPUTER SYSTEMS AND ORGANIZATION
COSC 113,Introduction to Computer and Programming
COSC 114,INSTALLATION AND CUSTOMIZATION OF COMPUTER SERVICES
COSC 120,FUNDAMENTALS OF COMPUTER PROGRAMMING
COSC 121,INTRODUCTION TO COMPUTERS AND PROGRAMMING
COSC 130,SYSTEM ANALYSIS AND DESIGN
COSC 211,DIGITAL ELECTRONICS
COSC 221,STRUCTURAL PROGRAMMING (IN C++)
COSC 222,COMPUTER OPERATION SYSTEM
COSC 223,OBJECT ORIENTED PROGRAMMING I (JAVA)
COSC 224,OBJECT ORIENTED PROGRAMMING
COSC 225,COMPUTER PROGRAMMING
COSC 226,PRINCIPLES OF OPERATING SYSTEMS
COSC 231,OBJECT ORIENTED ANALYSIS AND DESIGN
COSC 250,INTRODUCTION TO DATABASE SYSTEMS
COSC 251,DATABASE DESIGN AND IMPELEMENTATION
COSC 260,DATA COMMUNICATION
COSC 261,FUNDAMENTALS OF COMPUTER NETWORKS
COSC 270,TECHNO ENTREPRENEURSHIP AND BUSINESS MANAGEMENT
COSC 312,COMPONENTS AND DESIGN TECHNIQUES FOR DIGITAL SYSTEMS
COSC 316,EMBEDDED SOFTWARE DEVELOPMENT PRINCIPLES
COSC 320,COMPUTER PROGRAMMING IN JAVA
COSC 322,UNIX OS AND PROGRAMMING
COSC 325,DATA STRUCTURES AND ALGORITHMS ACSC 225:DATA STRUCTURES AND ALGORITHMS
COSC 326,"WEB DESIGN, DEVELOPMENT AND ADMINISTRATION"
COSC 327,COMPILER CONSTRUCTION
COSC 331,ESSENTIALS OF OBJECT-ORIENTED SYSTEMS
COSC 332,SOFTWARE ENGINEERING
COSC 333,DESIGN AND ANALYSIS OF ALGORITHSMS
COSC 340,/ COMP 303: THEORY OF COMPUTATION
COSC 341,ARTIFICIAL INTELLIGENCE
COSC 360,COMPUTER NETWORKS DESIGN AND MANAGEMENT
COSC 361,COMPUTER NETWORKS I
COSC 362,WIRELESS AND MOBILE COMPUTING
COSC 363,COMPUTER NETWORKS 11
COSC 371,AND ACSC 374: COMPUTER GRAPHICS
COSC 380,RESEARCH METHODS IN COMPUTER SCIENCE AND ACSC 381: RESEARCH METHODS IN APPLIED COMPUTER SCIENCE
COSC 416,Knowledge Based Systems
COSC 428,OPERATING SYSTEMS DESIGN
COSC 434,COMPONENT BASED ARCHITECTURES
COSC 435,USER INTERFACE DESIGN ACSC 435: HUMAN COMPUTER INTERFACE
COSC 436,SOFTWARE PROJECT MANAGEMENT
COSC 442,DECISION SUPPORT SYSTEMS
COSC 447,DATA WAREHOUSING AND DATA MINING ACSC 411: DATA MINING AND KNOWLEDGE DISCOVERY
COSC 451,ADVANCED DATABASE SYSTEMS
COSC 452,GEOGRAPHIC INFORMATION SYSTEMS (GIS)
COSC 461,COMPUTER NETWORKS
COSC 464,CRYPTOGRAPHY AND COMPUTER SECURITY   COSC 461: COMPUTER SYSTEMS SECURITY
COSC 465,DISTRIBUTED SYSTEMS
COSC 468,NETWORK MANAGEMENT
COSC 472,STRATEGIC INFORMATION SYSTEM BCOM (y4s2)
COSC 473,E- COMMERCE TECHNOLOGIES
COSC 475,SPECIAL TOPICS IN COMPUTER SCIENCE
COSC 476,INFORMATION SYSTEMS AUDITING
COSC 701,COMPUTER APPLICATIONS IN EDUCATION STREAMS: PGDE
COSC 801,COMPUTER USE AND APPLICATION IN RESEARCH COSC 802: COMPUTER USE AND APPLICATION IN EDUCATION
COSC 811,SIMULATION AND MODELLING
COSC 812,STRATEGIC INFORMATION SYSTEMS
COSC 821,COMPUTER NETWORKS DESIGN AND MANAGEMENT
COSC 822,DISTRIBUTED COMPUTING ARCHTECTURES
COSC 831,SYSTEMS PROJECT MANAGEMENT
COSC 841,ARTIFICIAL INTELLIGENCE
COSC 843,MACHINE LEARNING
COSC 845,EXPERT SYSTEM AND KNOWLEDGE ENGINEERING
COSC 851,ADVANCED COMPUTER SECURITY
COSC 853,INTERNET SECURITY
COSC 854,SECURITY ARCHITECTURE AND DESIGN
COSC 861,RESEARCH METHODS IN COMPUTER SCIENCE
CPLM 0011,CPLM 00114: INTRODUCTION TO STORES AND INVENTORY MANAGEMENT
CPLM 0013,CPLM 00131: BUSINESS MATHEMATICS
CPLM 0014,CPLM 00141: PRINCIPLES OF ACCOUNTING
CPSY 0011,CPSY 00111: INTRODUCTION TO PSYCHOLOGY
CPSY 0111,CPSY 0111A: ORIGIN AND DEVELOPMENT OF COUNSELING PSYCHOLOGY
CPSY 0112,PRINCIPLES OF GUIDANCE AND COUNSELING
CPSY 0113,ETHICS AND LEGAL ISSUES IN COUNSELLING
CPSY 0131,PERSONAL DEVELOPMENT
CPSY 111,INTRODUCTION TO PSYCHOLOGY
CPSY 802,STATISTICAL METHODS IN BEHAVIOURAL SCIENCES
CPSY 803,RESEARCH METHODS IN BEHAVIORAL SCIENCES
CPSY 811,"FUNDAMENTALS, THEORIES AND TECHNIQUES OF COUNSELLING"
CPSY 812,"COUNSELLING IN CONTEXTUAL SETTINGS, ETHICAL AND LEGAL ISSUES"
CPSY 821,ADVANCES IN SOCIAL PSYCHOLOGY
CPSY 822,MARITAL AND FAMILY THERAPY
CPSY 823,PSYCHOLOGICAL TESTING AND ASSESSMENT
CPSY 824,ADVANCES IN ABNORMAL PSYCHOLOGY
CPSY 911,CPSY 911/EDUC 901: ADVANCED RESEARCH METHODOLOGY
CPSY 912,QUANTITATIVE AND QUALITATIVE DATA ANALYSIS IN COUNSELLING PSYCHOLOGY
CPSY 922,APPROACHES TO PSYCHOTHERAPY
CPSY 923,ADVANCES IN CLINICAL SUPERVISION AND PRACTICUM SKILLS
CPSY 931,BIOLOGICAL AND COGNITIVE ASPECTS OF BEHAVIOUR
CRS 0011,CRS 00110 (2)
CRSS 0010,CRSS 00101: INTRODUCTION TO CRIMINAL LAW AND PROCEDURE STREAMS: CERT. CRSS (ODEL)
CRSS 0011,CRSS 00113: FIRE SAFETY AND PROTECTION STREAMS: CERT CRSS ODEL
CRSS 0013,CRSS 00130: CRIME PREVENTION
CRSS 0100,INTRODUCTION TO CRIMINOLOGY STREAMS: DIP. CRSS (Y1S1) (ODEL)
CRSS 0101,JUVENILE JUSTICE
CRSS 0102,INTRODUCTION TO THEORIES OF CRIME STREAMS: DIP. CRSS (Y1S2)
CRSS 0103,CRIMINAL JUSTICE SYSTEMS STREAMS: DIP. CRSS
CRSS 0104,"DRUGS, CRIME AND SOCIETY"
CRSS 0110,INTRODUCTION TO CORRECTION EXAMINATION QUESTIONS
CRSS 0111,FAMILY LAWS AND POLICIES STREAMS: ODEL
CRSS 0120,CORRECTIONAL SERVICES
CRSS 0130,CRIME PREVENTION
CRSS 0140,CRIMINAL INVESTIGATIONS
CRSS 0200,HUMAN RIGHTS IN CRIMINAL JUSTICE SYSTEM
CRSS 0201,RESTORATIVE JUSTICE AND VICTIMOLOGY
CRSS 0202,"MEDIA, CRIME AND CRIMINALITY"
CRSS 0210,CYBERCRIME AND SECURITY
CRSS 0220,REHABILITATION OF OFFENDERS
CRSS 0221,REHABILITATION OF ADDICTIONS AND SUBSTANCE ABUSE
CRSS 0230,SECURITY MANAGEMENT
CRSS 0231,TERRORISM AND NATIONAL SECURITY
CRSS 0232,EMERGENCY MANAGEMENT
CRSS 0233,PHYSICAL SECURITY
CRSS 0234,FIRE SAFETY AND PROTECTION STUDIES
CRSS 0235,ENVIRONMENTAL PROTECTION AND REINFORCEMENT
CRSS 0236,SECURITY ENTERPRENEURSHIP
CRSS 0240,FORENSIC METHODS & TECHNIQUES  STREAMS:    DIP Y1S1                 TIME: 2 HOURS
CRSS 100,INTRODUCTION TO CRIMINOLOGY
CRSS 101,INTRODUCTION TO JUVENILE JUSTICE
CRSS 102,THEORIES OF CRIME STREAMS: B.A CRSS (ODEL)
CRSS 103,INTRODUCTION TO THEORIES OF CRIME
CRSS 110,INTRODUCTION TO CRIMINAL LAW
